Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
11/20/2021,466,3,43,81,87,108,73,56,35,17,9,0,244,222,0,66,13,103,164,36,84,0,0,0,0,0,1,0,2,0,2,1,0,1,1,0,1,0,0,0,3,4,11,5,7,9,4,0,24,19,0,6,0,23,12,0,2
07/05/2021,58,2,7,11,15,14,7,5,3,2,1,0,26,31,1,15,1,16,14,4,8,0,0,0,0,0,1,0,1,0,2,0,0,2,0,0,0,0,0,2,1,1,0,1,1,1,0,0,3,4,0,2,0,3,1,0,1
01/02/2021,1114,21,63,126,277,210,191,147,86,51,26,0,590,522,2,459,36,164,317,59,79,0,1,0,1,1,3,6,9,0,4,17,0,7,3,5,6,0,0,1,6,5,7,10,14,11,9,0,26,37,0,15,4,28,13,3,0
04/30/2020,1274,40,168,57,230,221,230,189,150,95,102,0,628,644,2,632,24,268,175,39,136,0,0,3,0,4,8,11,14,0,17,23,0,13,1,18,8,0,0,1,11,16,12,34,40,24,30,0,76,92,0,64,8,56,31,7,2
02/05/2021,403,8,48,49,101,73,52,54,36,22,16,0,205,197,1,126,24,82,105,20,46,0,0,1,0,1,3,0,3,0,4,4,0,3,0,4,1,0,0,1,2,5,7,5,9,9,10,0,29,19,0,13,2,24,8,1,0
07/17/2020,325,3,26,35,102,66,48,35,21,13,5,0,169,156,0,136,7,81,66,12,23,0,0,0,0,2,0,0,1,0,1,2,0,2,0,1,0,0,0,0,5,2,9,3,2,3,2,0,11,15,0,5,0,14,6,0,1
09/01/2021,539,5,30,99,146,107,72,53,38,12,12,0,302,236,1,122,26,136,135,20,100,0,0,0,0,0,0,0,5,0,2,3,0,1,0,3,1,0,0,1,4,5,5,4,4,2,5,0,15,15,0,4,0,17,7,2,0
04/28/2020,1323,56,174,68,247,232,253,247,156,68,52,0,635,688,0,693,16,279,136,63,136,0,0,0,3,5,9,10,29,0,23,33,0,13,5,26,12,0,0,2,10,18,21,40,28,29,26,0,73,101,0,70,7,62,30,5,0
04/14/2020,666,33,166,16,102,121,122,126,78,51,50,0,356,310,0,256,27,217,105,25,36,0,1,2,1,3,5,9,12,0,11,22,0,8,2,13,10,0,0,3,7,13,19,37,30,29,28,0,71,95,0,58,3,70,27,7,1
12/29/2021,9409,11,248,1903,2130,1830,1291,1028,706,335,181,5,5241,4056,112,2159,329,2290,1801,620,2210,0,0,1,0,3,2,0,5,0,6,5,0,1,0,8,2,0,0,13,29,27,14,32,49,40,44,0,132,116,0,35,5,153,47,3,5
04/13/2020,694,32,153,10,99,115,127,160,91,53,39,0,354,340,0,265,28,230,103,28,40,0,0,1,5,3,7,7,9,0,14,18,0,11,2,17,2,0,0,1,5,11,11,41,28,27,29,0,65,88,0,37,6,70,30,10,0
08/12/2021,594,2,30,61,175,179,79,49,26,19,6,0,289,304,1,112,26,125,221,23,87,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,2,0,0,0,4,4,3,9,1,3,6,0,13,17,0,4,0,14,9,2,1
08/17/2020,492,3,26,69,142,84,72,63,29,23,10,0,238,252,2,272,9,78,101,11,21,0,0,0,0,1,0,1,1,0,1,2,0,0,0,2,1,0,0,0,1,2,6,6,5,5,1,0,13,13,0,9,0,13,4,0,0
11/02/2020,2323,15,109,271,556,506,372,311,186,75,46,0,1188,1126,9,911,61,393,574,86,298,0,0,0,0,0,2,5,8,0,6,9,0,1,1,5,8,0,0,1,5,11,15,24,22,15,16,0,52,57,0,30,3,45,26,2,3
11/13/2021,387,7,30,71,74,88,52,43,31,17,11,0,197,190,0,54,8,79,129,35,82,0,0,0,0,2,2,1,2,0,5,2,0,2,0,3,2,0,0,1,2,5,2,3,5,2,10,0,15,15,0,9,0,6,14,1,0
08/18/2020,411,1,25,50,130,79,59,46,22,21,4,0,212,199,0,194,10,67,106,8,26,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,4,7,3,0,3,4,2,0,12,13,0,11,0,9,3,1,1
03/31/2021,719,4,46,85,226,161,89,92,33,19,14,0,363,355,1,150,39,164,279,23,64,0,0,0,0,1,1,0,2,0,1,3,0,1,0,2,1,0,0,2,3,3,10,12,9,4,3,0,25,21,0,12,1,24,8,1,0
