"ZIP Code","Week Number","Week Start","Week End","Cases - Weekly","Cases - Cumulative","Case Rate - Weekly","Case Rate - Cumulative","Deaths - Weekly","Deaths - Cumulative","Death Rate - Weekly","Death Rate - Cumulative","Population.x","Total Doses - Daily","Total Doses - Cumulative","Vaccine Series Completed - Daily","Vaccine Series Completed - Cumulative","Vaccine Series Completed  - Percent Population","Population.y"
"60607",7,"02/13/2022",2022-02-19,14,6061,47,20482.6,0,16,0,54.1,29591,20,58707,6,22888,0.781,29293
"60608",50,"12/12/2021",2021-12-18,464,10159,586,12826.2,2,169,2.5,213.4,79205,380,114238,70,48915,0.611,80059
"60608",52,"12/26/2021",2022-01-01,1351,12354,1706,15597.5,4,181,5.1,228.5,79205,12,118365,0,49420,0.617,80059
"60615",50,"12/12/2021",2021-12-18,352,3802,847,9147.6,5,55,12,132.3,41563,174,65334,22,26776,0.66,40590
"60615",51,"12/19/2021",2021-12-25,526,4328,1266,10413.1,2,57,4.8,137.1,41563,4,66523,0,26914,0.663,40590
"60615",52,"12/26/2021",2022-01-01,629,4957,1513,11926.5,2,59,4.8,142,41563,6,67424,1,27052,0.666,40590
"60609",52,"12/26/2021",2022-01-01,1131,10820,1839,17594.9,4,182,6.5,296,61495,4,85786,2,36722,0.603,60939
"60609",2,"01/09/2022",2022-01-15,665,12351,1081,20084.6,7,194,11.4,315.5,61495,413,90339,49,37534,0.616,60939
"60610",2,"01/09/2022",2022-01-15,284,7328,728,18780.6,5,46,12.8,117.9,39019,76,73680,8,28858,0.712,40548
"60610",4,"01/23/2022",2022-01-29,125,7622,320,19534.1,2,49,5.1,125.6,39019,58,74934,14,29097,0.718,40548
"60610",6,"02/06/2022",2022-02-12,47,7739,120,19833.9,1,52,2.6,133.3,39019,32,75718,9,29341,0.724,40548
"60610",7,"02/13/2022",2022-02-19,30,7769,77,19910.8,1,53,2.6,135.8,39019,21,75974,10,29435,0.726,40548
"60611",50,"12/12/2021",2021-12-18,329,3446,1015,10627.3,1,20,3.1,61.7,32426,146,68205,5,26444,0.796,33224
"60611",52,"12/26/2021",2022-01-01,472,4481,1456,13819.2,1,21,3.1,64.8,32426,7,70322,0,26626,0.801,33224
"60611",51,"12/19/2021",2021-12-25,563,4009,1736,12363.5,0,20,0,61.7,32426,3,69312,0,26543,0.799,33224
"60611",2,"01/09/2022",2022-01-15,230,5223,709,16107.4,0,22,0,67.8,32426,71,71930,9,26825,0.807,33224
"60611",6,"02/06/2022",2022-02-12,55,5530,170,17054.2,0,26,0,80.2,32426,16,73626,0,27095,0.816,33224
"60611",7,"02/13/2022",2022-02-19,32,5562,99,17152.9,0,26,0,80.2,32426,25,73839,4,27123,0.816,33224
"60613",50,"12/12/2021",2021-12-18,476,5595,950,11164.8,0,52,0,103.8,50113,309,94871,27,38902,0.766,50761
"60613",52,"12/26/2021",2022-01-01,860,7331,1716,14628.9,1,53,2,105.8,50113,1,98301,1,39270,0.774,50761
"60613",2,"01/09/2022",2022-01-15,469,8571,936,17103.3,4,59,8,117.7,50113,121,101131,13,39620,0.781,50761
"60613",4,"01/23/2022",2022-01-29,170,8960,339,17879.6,2,61,4,121.7,50113,90,102955,14,39918,0.786,50761
"60613",6,"02/06/2022",2022-02-12,57,9102,114,18163,1,62,2,123.7,50113,55,104079,18,40180,0.792,50761
"60618",50,"12/12/2021",2021-12-18,552,11474,585,12155.3,2,138,2.1,146.2,94395,482,156649,54,66259,0.698,94907
"60618",51,"12/19/2021",2021-12-25,1052,12526,1114,13269.8,0,138,0,146.2,94395,2,160002,0,66719,0.703,94907
"60618",52,"12/26/2021",2022-01-01,1570,14096,1663,14933,2,140,2.1,148.3,94395,12,162778,5,67145,0.707,94907
"60614",50,"12/12/2021",2021-12-18,811,8824,1137,12374.5,1,99,1.4,138.8,71308,300,121171,32,49052,0.682,71954
"60614",51,"12/19/2021",2021-12-25,1116,9940,1565,13939.5,1,100,1.4,140.2,71308,0,123541,0,49352,0.686,71954
"60614",52,"12/26/2021",2022-01-01,900,10840,1262,15201.7,2,102,2.8,143,71308,6,125087,0,49551,0.689,71954
"60614",6,"02/06/2022",2022-02-12,95,13065,133,18321.9,0,113,0,158.5,71308,44,131435,9,50522,0.702,71954
"60615",2,"01/09/2022",2022-01-15,282,5824,678,14012.5,1,65,2.4,156.4,41563,104,69918,21,27437,0.676,40590
"60615",3,"01/16/2022",2022-01-22,123,5947,296,14308.4,3,68,7.2,163.6,41563,94,70768,24,27608,0.68,40590
"60615",6,"02/06/2022",2022-02-12,24,6096,58,14666.9,1,72,2.4,173.2,41563,46,72630,13,28175,0.694,40590
"60615",7,"02/13/2022",2022-02-19,38,6134,91,14758.3,1,73,2.4,175.6,41563,41,72996,13,28299,0.697,40590
"60616",3,"01/16/2022",2022-01-22,237,7833,435,14382,3,126,5.5,231.3,54464,254,96938,38,38326,0.707,54197
"60616",7,"02/13/2022",2022-02-19,50,8110,92,14890.6,0,132,0,242.4,54464,57,100168,25,39249,0.724,54197
"60622",50,"12/12/2021",2021-12-18,506,7501,958,14208.3,1,85,1.9,161,52793,280,92814,38,38601,0.724,53294
"60622",51,"12/19/2021",2021-12-25,837,8338,1585,15793.8,0,85,0,161,52793,2,94851,0,38838,0.729,53294
"60622",52,"12/26/2021",2022-01-01,829,9167,1570,17364,1,86,1.9,162.9,52793,3,96264,0,39031,0.732,53294
"60617",50,"12/12/2021",2021-12-18,544,10875,659,13176.4,7,193,8.5,233.8,82534,246,97861,64,42144,0.504,83553
"60617",52,"12/26/2021",2022-01-01,1316,12988,1594,15736.5,6,203,7.3,246,82534,6,101198,0,42750,0.512,83553
"60617",2,"01/09/2022",2022-01-15,519,14426,629,17478.9,11,220,13.3,266.6,82534,269,105178,53,43655,0.522,83553
"60617",4,"01/23/2022",2022-01-29,145,14840,176,17980.5,5,238,6.1,288.4,82534,244,108929,67,44710,0.535,83553
"60617",6,"02/06/2022",2022-02-12,42,14954,51,18118.6,0,239,0,289.6,82534,160,111660,80,45754,0.548,83553
"60623",52,"12/26/2021",2022-01-01,1568,15786,1824,18360.3,4,293,4.7,340.8,85979,6,114864,1,49469,0.609,81283
"60623",2,"01/09/2022",2022-01-15,821,18222,955,21193.5,5,303,5.8,352.4,85979,471,121313,45,50640,0.623,81283
"60623",3,"01/16/2022",2022-01-22,445,18667,518,21711.1,4,307,4.7,357.1,85979,486,124253,67,51290,0.631,81283
"60623",4,"01/23/2022",2022-01-29,187,18854,218,21928.6,3,310,3.5,360.6,85979,388,126922,111,52130,0.641,81283
"60617",7,"02/13/2022",2022-02-19,27,14981,33,18151.3,1,240,1.2,290.8,82534,143,112722,58,46183,0.553,83553
"60623",5,"01/30/2022",2022-02-05,95,18949,110,22039.1,3,313,3.5,364,85979,355,128926,137,52905,0.651,81283
"60623",6,"02/06/2022",2022-02-12,51,19000,59,22098.4,4,317,4.7,368.7,85979,318,131066,133,53759,0.661,81283
"60618",2,"01/09/2022",2022-01-15,765,16446,810,17422.5,6,151,6.4,160,94395,338,169145,31,68146,0.718,94907
"60618",3,"01/16/2022",2022-01-22,450,16896,477,17899.3,1,152,1.1,161,94395,309,171598,37,68619,0.723,94907
"60618",4,"01/23/2022",2022-01-29,278,17174,294,18193.8,2,154,2.1,163.1,94395,264,173624,66,69118,0.728,94907
"60618",5,"01/30/2022",2022-02-05,173,17347,183,18377,4,158,4.2,167.4,94395,275,175252,76,69654,0.734,94907
"60618",6,"02/06/2022",2022-02-12,97,17444,103,18479.8,2,160,2.1,169.5,94395,163,176607,45,70085,0.738,94907
"60618",7,"02/13/2022",2022-02-19,79,17523,84,18563.5,1,161,1.1,170.6,94395,149,177508,51,70451,0.742,94907
"60624",50,"12/12/2021",2021-12-18,290,4785,802,13233.6,1,100,2.8,276.6,36158,57,37929,14,16744,0.48,34892
"60624",52,"12/26/2021",2022-01-01,656,6013,1814,16629.8,1,103,2.8,284.9,36158,1,39401,0,17065,0.489,34892
"60624",2,"01/09/2022",2022-01-15,195,6791,539,18781.5,1,107,2.8,295.9,36158,98,41710,18,17629,0.505,34892
"60624",3,"01/16/2022",2022-01-22,109,6900,302,19082.9,2,109,5.5,301.5,36158,74,42738,21,17932,0.514,34892
"60624",5,"01/30/2022",2022-02-05,18,6994,50,19342.9,1,113,2.8,312.5,36158,76,44442,29,18583,0.533,34892
"60624",6,"02/06/2022",2022-02-12,16,7010,44,19387.1,0,113,0,312.5,36158,72,45322,34,18974,0.544,34892
"60625",50,"12/12/2021",2021-12-18,386,9844,487,12422.5,0,208,0,262.5,79243,392,131908,54,55767,0.702,79444
"60625",51,"12/19/2021",2021-12-25,910,10754,1148,13570.9,3,211,3.8,266.3,79243,6,134644,3,56134,0.707,79444
"60625",52,"12/26/2021",2022-01-01,1383,12137,1745,15316.2,3,214,3.8,270.1,79243,10,136861,1,56469,0.711,79444
"60625",1,"01/02/2022",2022-01-08,1218,13355,1537,16853.2,2,216,2.5,272.6,79243,352,139670,50,56904,0.716,79444
"60625",2,"01/09/2022",2022-01-15,735,14090,928,17780.8,0,216,0,272.6,79243,240,142302,21,57322,0.722,79444
"60625",3,"01/16/2022",2022-01-22,434,14524,548,18328.4,7,223,8.8,281.4,79243,243,144511,30,57705,0.726,79444
"60625",5,"01/30/2022",2022-02-05,151,14918,191,18825.6,4,231,5,291.5,79243,209,147828,57,58710,0.739,79444
"60625",6,"02/06/2022",2022-02-12,116,15034,146,18972,1,232,1.3,292.8,79243,157,149122,50,59193,0.745,79444
"60625",7,"02/13/2022",2022-02-19,78,15112,98,19070.5,2,234,2.5,295.3,79243,130,149943,39,59526,0.749,79444
"60626",1,"01/02/2022",2022-01-08,872,7786,1754,15656.5,3,184,6,370,49730,208,83217,45,34082,0.674,50544
"60626",2,"01/09/2022",2022-01-15,516,8302,1038,16694.1,3,187,6,376,49730,131,84755,7,34289,0.678,50544
"60626",3,"01/16/2022",2022-01-22,296,8598,595,17289.4,6,193,12.1,388.1,49730,136,85958,10,34508,0.683,50544
