"Zip Code","Date","Total Doses - Daily","Total Doses - Cumulative","Vaccine Series Completed - Daily","Vaccine Series Completed - Cumulative","Vaccine Series Completed  - Percent Population","Population"
"60605","05/08/2021",178,32738,149,15150,0.521,29060
"60605","05/09/2021",61,32799,43,15193,0.523,29060
"60605","05/10/2021",153,32952,126,15319,0.527,29060
"60605","05/11/2021",276,33228,238,15557,0.535,29060
"60605","05/12/2021",284,33512,237,15794,0.543,29060
"60605","05/13/2021",419,33931,306,16100,0.554,29060
"60605","05/14/2021",316,34247,217,16317,0.561,29060
"60605","05/15/2021",228,34475,162,16479,0.567,29060
"60605","05/16/2021",120,34595,82,16561,0.57,29060
"60605","05/17/2021",180,34775,135,16696,0.575,29060
"60605","05/18/2021",193,34968,122,16818,0.579,29060
"60605","05/19/2021",203,35171,141,16959,0.584,29060
"60605","05/20/2021",186,35357,131,17090,0.588,29060
"60605","05/21/2021",242,35599,154,17244,0.593,29060
"60605","05/22/2021",98,35697,67,17311,0.596,29060
"60605","05/23/2021",55,35752,29,17340,0.597,29060
"60605","05/24/2021",112,35864,71,17411,0.599,29060
"60605","05/25/2021",109,35973,74,17485,0.602,29060
"60605","05/26/2021",113,36086,86,17571,0.605,29060
"60605","05/27/2021",98,36184,73,17644,0.607,29060
"60605","05/28/2021",120,36304,84,17728,0.61,29060
"60605","05/29/2021",64,36368,43,17771,0.612,29060
"60605","05/30/2021",42,36410,23,17794,0.612,29060
"60605","05/31/2021",8,36418,8,17802,0.613,29060
"60605","06/01/2021",105,36523,64,17866,0.615,29060
"60605","06/02/2021",71,36594,53,17919,0.617,29060
"60605","06/03/2021",101,36695,85,18004,0.62,29060
"60605","06/04/2021",111,36806,86,18090,0.623,29060
"60606","05/09/2021",6,4466,6,2066,0.629,3287
"60606","05/20/2021",22,4854,13,2367,0.72,3287
"60606","06/01/2021",17,5049,12,2499,0.76,3287
"60606","07/24/2021",10,5581,4,2884,0.877,3287
"60606","08/08/2021",1,5693,0,2964,0.902,3287
"60606","08/20/2021",15,5789,6,3002,0.913,3287
"60606","08/23/2021",17,5816,9,3012,0.916,3287
"60606","08/24/2021",10,5826,5,3017,0.918,3287
"60606","10/08/2021",28,6227,4,3102,0.944,3287
"60606","10/19/2021",11,6362,0,3121,0.949,3287
"60606","11/20/2021",13,7064,0,3218,0.979,3287
"60606","01/03/2022",23,8137,2,3331,1.01,3287
"60606","01/12/2022",21,8302,5,3354,1.02,3287
"60606","01/16/2022",4,8356,0,3358,1.02,3287
"60606","02/03/2022",6,8545,1,3385,1.03,3287
"60606","02/04/2022",13,8558,0,3385,1.03,3287
"60606","02/05/2022",10,8568,1,3386,1.03,3287
"60606","02/06/2022",6,8574,0,3386,1.03,3287
"60606","02/08/2022",13,8599,3,3390,1.03,3287
"60606","02/09/2022",5,8604,0,3390,1.03,3287
"60606","02/14/2022",4,8638,1,3396,1.03,3287
"60606","02/20/2022",0,8658,0,3400,1.03,3287
"60606","02/21/2022",6,8664,1,3401,1.03,3287
"60606","02/22/2022",2,8666,0,3401,1.03,3287
"60606","02/23/2022",3,8669,0,3401,1.03,3287
"60606","02/28/2022",5,8695,0,3402,1.03,3287
"60606","03/01/2022",2,8697,1,3403,1.04,3287
"60606","03/03/2022",3,8704,0,3404,1.04,3287
"60606","03/04/2022",6,8710,1,3405,1.04,3287
"60606","03/05/2022",1,8711,0,3405,1.04,3287
"60606","03/06/2022",2,8713,1,3406,1.04,3287
"60606","03/08/2022",0,8716,0,3406,1.04,3287
"60605","06/24/2021",44,38094,26,19015,0.654,29060
"60605","06/25/2021",60,38154,34,19049,0.656,29060
"60605","06/26/2021",39,38193,17,19066,0.656,29060
"60605","06/27/2021",23,38216,10,19076,0.656,29060
"60605","06/28/2021",24,38240,7,19083,0.657,29060
"60605","06/29/2021",32,38272,18,19101,0.657,29060
"60605","06/30/2021",37,38309,23,19124,0.658,29060
"60605","07/01/2021",51,38360,27,19151,0.659,29060
"60605","07/02/2021",44,38404,32,19183,0.66,29060
"60605","07/03/2021",21,38425,12,19195,0.661,29060
"60605","07/04/2021",0,38425,0,19195,0.661,29060
"60605","07/05/2021",43,38468,18,19213,0.661,29060
"60605","07/06/2021",33,38501,20,19233,0.662,29060
"60605","07/07/2021",38,38539,24,19257,0.663,29060
"60605","07/08/2021",35,38574,21,19278,0.663,29060
"60605","07/09/2021",54,38628,31,19309,0.664,29060
"60605","07/10/2021",35,38663,18,19327,0.665,29060
"60605","07/11/2021",30,38693,12,19339,0.665,29060
"60605","07/12/2021",31,38724,8,19347,0.666,29060
"60605","07/13/2021",34,38758,15,19362,0.666,29060
"60605","07/14/2021",36,38794,23,19385,0.667,29060
"60605","07/15/2021",35,38829,18,19403,0.668,29060
"60605","07/16/2021",38,38867,20,19423,0.668,29060
"60605","07/17/2021",27,38894,14,19437,0.669,29060
"60605","07/18/2021",15,38909,9,19446,0.669,29060
"60606","03/03/2021",24,1139,13,447,0.136,3287
"60605","08/24/2021",48,40180,24,20019,0.689,29060
"60607","01/09/2021",170,2598,134,573,0.02,29293
"60607","01/10/2021",34,2632,26,599,0.02,29293
"60607","01/11/2021",157,2789,125,724,0.025,29293
"60607","01/12/2021",232,3021,146,870,0.03,29293
"60666","02/22/2021",0,13,0,2,0,0
"60612","09/22/2021",78,34042,35,16626,0.493,33735
"60612","09/23/2021",65,34107,28,16654,0.494,33735
"60612","09/24/2021",94,34201,46,16700,0.495,33735
"60612","09/25/2021",48,34249,19,16719,0.496,33735
"60612","09/26/2021",23,34272,8,16727,0.496,33735
"60612","09/27/2021",62,34334,19,16746,0.496,33735
"60612","09/28/2021",110,34444,39,16785,0.498,33735
"60612","09/29/2021",119,34563,28,16813,0.498,33735
"60612","09/30/2021",148,34711,31,16844,0.499,33735
"60612","10/01/2021",155,34866,58,16902,0.501,33735
"60612","10/02/2021",61,34927,16,16918,0.501,33735
"60612","10/03/2021",15,34942,4,16922,0.502,33735
"60612","10/04/2021",129,35071,46,16968,0.503,33735
"60612","10/05/2021",99,35170,15,16983,0.503,33735
"60612","10/06/2021",131,35301,28,17011,0.504,33735
"60612","10/07/2021",102,35403,34,17045,0.505,33735
"60612","10/08/2021",111,35514,21,17066,0.506,33735
"60612","10/09/2021",48,35562,15,17081,0.506,33735
"60612","10/10/2021",37,35599,16,17097,0.507,33735
"60612","10/11/2021",89,35688,21,17118,0.507,33735
"60612","10/12/2021",110,35798,37,17155,0.509,33735
"60612","10/13/2021",114,35912,28,17183,0.509,33735
"60612","10/14/2021",140,36052,40,17223,0.511,33735
"60612","10/15/2021",126,36178,37,17260,0.512,33735
"60612","10/16/2021",39,36217,15,17275,0.512,33735
"60612","10/18/2021",94,36328,30,17306,0.513,33735
"60612","10/19/2021",93,36421,22,17328,0.514,33735
"60612","10/20/2021",98,36519,30,17358,0.515,33735
"60612","10/21/2021",100,36619,19,17377,0.515,33735
"60612","10/22/2021",117,36736,32,17409,0.516,33735
"60612","10/23/2021",49,36785,10,17419,0.516,33735
"60612","10/24/2021",27,36812,5,17424,0.516,33735
"60612","10/25/2021",115,36927,31,17455,0.517,33735
"60612","10/26/2021",117,37044,31,17486,0.518,33735
"60612","10/27/2021",143,37187,31,17517,0.519,33735
"60612","10/28/2021",117,37304,30,17547,0.52,33735
"60612","10/29/2021",151,37455,47,17594,0.522,33735
"60612","10/30/2021",55,37510,14,17608,0.522,33735
"60612","10/31/2021",28,37538,11,17619,0.522,33735
"60612","11/01/2021",130,37668,36,17655,0.523,33735
"60612","11/02/2021",106,37774,19,17674,0.524,33735
"60612","11/03/2021",126,37900,19,17693,0.524,33735
"60612","11/04/2021",131,38031,28,17721,0.525,33735
"60612","11/05/2021",165,38196,32,17753,0.526,33735
"60612","11/06/2021",82,38278,12,17765,0.527,33735
"60612","11/07/2021",29,38307,6,17771,0.527,33735
"60612","11/08/2021",144,38451,26,17797,0.528,33735
"60612","11/09/2021",138,38589,28,17825,0.528,33735
"60612","11/10/2021",148,38737,34,17859,0.529,33735
"60612","11/11/2021",183,38920,18,17877,0.53,33735
"60612","11/12/2021",271,39191,32,17909,0.531,33735
"60612","11/13/2021",99,39290,11,17920,0.531,33735
"60612","11/14/2021",40,39330,7,17927,0.531,33735
